Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piece Name,Set Name,Piece Type,Rarity,Base Def.,Fire Res.,Water Res.,Thunder Res.,Ice Res.,Dragon Res.,Lvl 1 Deco Slots,Lvl 2 Deco Slots,Lvl 3 Deco Slots,Text Description,Skill 1,Skill 1 Lvl,Skill 2,Skill 2 Lvl,Skill 3,Skill 3 Lvl,Group Skill,Set Bonus,Forging Price,Forge Mat 1,Forge Mat 1 Qty,Forge Mat 2,Forge Mat 2 Qty,Forge Mat 3,Forge Mat 3 Qty,Forge Mat 4,Forge Mat 4 Qty
Chatacabra Vambraces,Chatacabra,Arms,1,6,1,2,-3,-1,1,-,-,-,Chatacabra armguards. They protect the wrists without hampering weapon handling.,Item Prolonger,1,-,-,-,-,-,-,200,Chatacabra Hide,2,Chatacabra Shell,1,-,-,-,-
Chatacabra Coil,Chatacabra,Waist,1,6,1,2,-3,-1,1,-,-,-,"Chatacabra waistgear. The charming, heart-shaped pouch is made from its ample tongue.",Speed Eating,1,-,-,-,-,-,-,200,Chatacabra Certificate,1,Chatacabra Scale,2,Chatacabra Jaw,1,Sharp Fang,1
Chatacabra Greaves,Chatacabra,Legs,1,6,1,2,-3,-1,1,-,-,-,Leg armor made from Chatacabra spoils. A loose fit for maximum mobility.,Item Prolonger,1,-,-,-,-,-,-,200,Chatacabra Jaw,1,Chatacabra Shell,1,Mystery Bone,1,-,-
Quematrice Helm,Quematrice,Head,1,6,2,-3,0,-1,0,-,-,-,Head armor made from Quematrice spoils. The shock of feathers ties the whole look together.,Flinch Free,1,-,-,-,-,-,-,200,Quematrice Certificate,1,Quematrice Tail,1,Quematrice Igniter,1,Iron Ore,1
Quematrice Mail,Quematrice,Chest,1,6,2,-3,0,-1,0,-,-,-,"Quematrice chest armor. The design may look ceremonial, but it offers ample protection.",Fire Resistance,1,-,-,-,-,-,-,200,Quematrice Igniter,1,Quematrice Crest,1,Quematrice Tail,1,-,-
Quematrice Braces,Quematrice,Arms,1,6,2,-3,0,-1,0,-,-,-,Armguards made from Quematrice parts. The wide cuffs allow the wrists to move unimpeded.,Flinch Free,1,-,-,-,-,-,-,200,Quematrice Scale,2,Quematrice Igniter,1,-,-,-,-
Quematrice Coil,Quematrice,Waist,1,6,2,-3,0,-1,0,-,-,-,Flaunt-worthy Quematrice waistgear. Nothing shouts haute couture like flowing tassets.,Stun Resistance,1,-,-,-,-,-,-,200,Quematrice Hide,2,Quematrice Crest,1,-,-,-,-
Quematrice Greaves,Quematrice,Legs,1,6,2,-3,0,-1,0,-,-,-,Quematrice leg armor. The ornate gaiters let a hunter strut like Quematrice.,Flinch Free,1,-,-,-,-,-,-,200,Quematrice Scale,2,Quematrice Hide,2,Quematrice Crest,1,-,-
Alloy Helm,Alloy,Head,1,6,-2,1,-2,-2,1,-,-,-,"A helmet crafted from quality ore. While it doesn't look like much, this is highly functional armor.",Quick Sheathe,1,-,-,-,-,-,-,200,Machalite Ore,1,Iron Ore,1,-,-,-,-
Alloy Mail,Alloy,Chest,1,6,-2,1,-2,-2,1,-,-,-,"Chest armor crafted from quality ore. Made with a logical, no-frills construction that puts mobility first.",Tremor Resistance,1,-,-,-,-,-,-,200,Machalite Ore,1,Iron Ore,1,-,-,-,-
Alloy Vambraces,Alloy,Arms,1,6,-2,1,-2,-2,1,-,-,-,Armguards crafted from quality ore. Every element is streamlined for maximum utility.,Tremor Resistance,1,-,-,-,-,-,-,200,Machalite Ore,1,Iron Ore,1,-,-,-,-
Alloy Coil,Alloy,Waist,1,6,-2,1,-2,-2,1,-,-,-,Waistgear crafted from quality ore. The complexly shaded patina and sleek design are quite stunning.,Tremor Resistance,1,-,-,-,-,-,-,200,Machalite Ore,1,Earth Crystal,1,-,-,-,-
Alloy Greaves,Alloy,Legs,1,6,-2,1,-2,-2,1,-,-,-,Leg armor crafted from quality ore. What it lacks in charm it more than makes up in defense.,Quick Sheathe,1,-,-,-,-,-,-,200,Machalite Ore,1,Earth Crystal,1,-,-,-,-
Piragill Greaves,Piragill,Legs,1,4,-3,-3,4,1,1,-,-,-,"Piragill leg armor. A light, skintight fit made with the most exquisite, buttery-soft leather.",Water Resistance,1,-,-,-,-,-,-,200,Piragill Fin,1,Machalite Ore,1,-,-,-,-
Vespoid Helm,Vespoid,Head,1,4,-2,1,1,1,2,-,-,-,A Vespoid helmet. The carapace material is susceptible to fire but offers sturdy coverage.,Survival Expert,1,-,-,-,-,-,-,200,Vespoid Shell,1,Mystery Bone,1,-,-,-,-
Vespoid Mail,Vespoid,Chest,1,4,-2,1,1,1,2,-,-,-,Vespoid chest armor. Its arcane build provides formidable resistance to physical attacks.,Survival Expert,1,-,-,-,-,-,-,200,Vespoid Shell,1,Mystery Bone,1,-,-,-,-
Vespoid Vambraces,Vespoid,Arms,1,4,-2,1,1,1,2,-,-,-,"Vespoid armguards. They are as heavy as they look, but they afford significant defense.",Paralysis Resistance,1,-,-,-,-,-,-,200,Vespoid Shell,1,Vespoid Wing,1,-,-,-,-
Vespoid Coil,Vespoid,Waist,1,4,-2,1,1,1,2,-,-,-,Vespoid waistgear. The design arose from the study of highly defensive exoskeletons.,Paralysis Resistance,1,-,-,-,-,-,-,200,Vespoid Shell,1,Monster Fluid,1,-,-,-,-
Vespoid Greaves,Vespoid,Legs,1,4,-2,1,1,1,2,-,-,-,Leg armor made from Vespoid parts. Ingenious artisanship has further reinforced the carapace.,Survival Expert,1,-,-,-,-,-,-,200,Vespoid Shell,1,Vespoid Wing,1,-,-,-,-
Gajau Boots,Gajau,Legs,1,4,0,5,0,0,0,-,-,-,Leg armor made from Gajau spoils. The pliable hide even has fans outside the hunter community.,Water Resistance,1,-,-,-,-,-,-,200,Gajau Hide,1,-,-,-,-,-,-
Barina Headgear,Lala Barina,Head,1,8,-3,0,3,0,3,-,-,-,Lala Barina head armor. The rose embellishments were fashioned from its caparace.,Paralysis Resistance,1,-,-,-,-,-,-,200,Lala Barina Floret,2,Lala Barina Mucus,1,-,-,-,-
Barina Mail,Lala Barina,Chest,1,8,-3,0,3,0,3,-,-,-,"Lala Barina chest armor. It may look like normal clothing, but it's just as hardy as armor.",Paralysis Resistance,1,-,-,-,-,-,-,200,Lala Barina Floret,2,Lala Barina Shell,2,Lala Barina Stinger,1,-,-
Barina Vambraces,Lala Barina,Arms,1,8,-3,0,3,0,3,-,-,-,Lala Barina armguards that are so elegant they could pass as formal wear.,Recovery Up,1,-,-,-,-,-,-,200,Lala Barina Shell,2,Lala Barina Claw,1,-,-,-,-
Barina Coil,Lala Barina,Waist,1,8,-3,0,3,0,3,-,-,-,Lala Barina waistgear that nobility would gladly don just to make an impression.,Recovery Up,1,-,-,-,-,-,-,200,Lala Barina Mucus,1,Lala Barina Claw,1,Lala Barina Stinger,1,-,-
Barina Greaves,Lala Barina,Legs,1,8,-3,0,3,0,3,-,-,-,Lala Barina leg armor. Pulls the rose motif back in with subtle but elegant detailing.,Recovery Up,1,-,-,-,-,-,-,400,Lala Barina Certificate,1,Lala Barina Floret,2,Lala Barina Mucus,1,Monster Fluid,1
Conga Helm,Conga,Head,2,8,-3,1,1,-1,2,-,-,-,"Head armor made from Congalala materials. Remember: it's ""feral"", not ""unkempt"".",Mushroomancer,1,-,-,-,-,-,-,400,Congalala Claw,2,Vibrant Pelt,1,-,-,-,-
Conga Mail,Conga,Chest,2,8,-3,1,1,-1,2,-,-,-,Chest armor made from Congalala materials. The shocks of monster fur help hunters keep it wild.,Mushroomancer,1,-,-,-,-,-,-,400,Congalala Pelt,2,Congalala Claw,1,Vibrant Pelt,1,-,-
Conga Vambraces,Conga,Arms,2,8,-3,1,1,-1,2,-,-,-,Armguards made from Congalala materials. Crudely made but highly protective.,Stench Resistance,1,-,-,-,-,-,-,400,Congalala Fang,1,Vibrant Pelt,1,Machalite Ore,1,-,-
Conga Coil,Conga,Waist,2,8,-3,1,1,-1,2,-,-,-,"Waistgear made from Congalala materials, complete with an array of handy pockets!",Stench Resistance,1,-,-,-,-,-,-,400,Congalala Pelt,2,Congalala Fang,1,-,-,-,-
Conga Greaves,Conga,Legs,2,8,-3,1,1,-1,2,-,-,-,Greaves made of Congalala parts. Wild crafting perfect for those who run in the wilderness.,Mushroomancer,1,-,-,-,-,-,-,400,Congalala Certificate,1,Congalala Pelt,1,Congalala Fang,1,Conga Pelt,1
Balahara Helm,Balahara,Head,2,12,-1,2,-3,1,1,-,-,-,A Balahara helmet covered in roughly polished protrusions to strongly evoke its namesake.,Hunger Resistance,1,-,-,-,-,-,-,400,Balahara Scale,2,Balahara Skull,1,-,-,-,-
Balahara Mail,Balahara,Chest,2,12,-1,2,-3,1,1,-,-,-,Balahara chest armor. The bulky shoulders are roomy enough to allow ample movement.,Quick Sheathe,1,-,-,-,-,-,-,400,Balahara Scale,2,Balahara Shell,1,Balahara Tail,1,-,-
Balahara Vambraces,Balahara,Arms,2,12,-1,2,-3,1,1,-,-,-,Balahara armguards. The spikes are arranged artfully in a way that maximizes movement.,Evade Extender,1,-,-,-,-,-,-,400,Balahara Skull,1,Balahara Tail,1,Aqua Sac,1,-,-
Balahara Coil,Balahara,Waist,2,12,-1,2,-3,1,1,-,-,-,Balahara waistgear. The fabric is colored a shade of red that stirs a competitive spirit.,Evade Extender,1,-,-,-,-,-,-,400,Balahara Certificate,1,Balahara Scale,2,Balahara Shell,1,Balahara Black Pearl,1
Balahara Greaves,Balahara,Legs,2,12,-1,2,-3,1,1,-,-,-,"Spiny Balahara leg armor. The carapace has been split into clever, fluid parts.",Evade Extender,1,-,-,-,-,-,-,400,Balahara Shell,2,Balahara Skull,1,-,-,-,-
Doshaguma Helm,Doshaguma,Head,2,16,-3,2,-1,-1,4,-,-,-,Head armor made from Doshaguma parts. Pity any enemy who dares scoff at its imposing crest.,Free Meal,1,-,-,-,-,-,Doshaguma's Might,400,Doshaguma Fur,2,Doshaguma Hide,2,Doshaguma Fang,1,Herbivore Shell,1
Doshaguma Mail,Doshaguma,Chest,2,16,-3,2,-1,-1,4,-,-,-,Doshaguma chest armor. The lush shocks of fur function as a robust defensive layer.,Free Meal,1,-,-,-,-,-,Doshaguma's Might,400,Doshaguma Fur,2,Doshaguma Claw,1,-,-,-,-
Doshaguma Vambraces,Doshaguma,Arms,2,16,-3,2,-1,-1,4,-,-,-,"Doshaguma armguards. Teeming with such feral power, they had to be restrained with metal bracers.",Recovery Speed,1,-,-,-,-,-,Doshaguma's Might,400,Doshaguma Hide,2,Doshaguma Fang,1,-,-,-,-
Doshaguma Coil,Doshaguma,Waist,2,16,-3,2,-1,-1,4,-,-,-,Waistgear made from Doshaguma parts. Nothing can muss the thick pile of this sturdy sash.,Item Prolonger,1,-,-,-,-,-,Doshaguma's Might,400,Doshaguma Claw,1,Doshaguma Fang,2,Sturdy Bone,1,-,-
Doshaguma Greaves,Doshaguma,Legs,2,16,-3,2,-1,-1,4,-,-,-,"Doshaguma leg armor. Whether dune or sandstorm, nothing can slow its wearer's progress.",Free Meal,1,-,-,-,-,-,Doshaguma's Might,400,Doshaguma Certificate,1,Doshaguma Fur,2,Doshaguma Claw,1,Brute Bone,1
Ingot Helm,Ingot,Head,3,16,-2,0,3,-1,0,-,-,-,"Head armor fashioned from lustrous, golden ore. Regal protection with a crown to complete the look.",Divine Blessing,1,-,-,-,-,-,-,400,Dragonite Ore,1,Machalite Ore,1,-,-,-,-
Ingot Mail,Ingot,Chest,3,16,-2,0,3,-1,0,-,-,-,Chest armor crafter from brilliant golden ore. Its color and design are both highly pleasing.,Windproof,1,-,-,-,-,-,-,400,Dragonite Ore,1,Earth Crystal,1,-,-,-,-
Ingot Vambraces,Ingot,Arms,3,16,-2,0,3,-1,0,-,-,-,"Armguards fashioned from lustrous, golden ore. A union of artistry and utility with no absence of durability.",Stun Resistance,1,-,-,-,-,-,-,400,Dragonite Ore,1,Machalite Ore,1,-,-,-,-
Ingot Coil,Ingot,Waist,3,16,-2,0,3,-1,0,-,-,-,"Waistgear fashioned from lustrous, golden ore. It joins haute design with the very latest in armor craft.",Divine Blessing,1,-,-,-,-,-,-,400,Dragonite Ore,1,Earth Crystal,1,-,-,-,-
Ingot Greaves,Ingot,Legs,3,16,-2,0,3,-1,0,-,-,-,"Leg armor fashioned from lustrous, golden ore. Clever smithing makes the metal feel fluid and light.",Windproof,1,-,-,-,-,-,-,400,Dragonite Ore,1,Firestone,1,-,-,-,-
Kranodath Mail,Kranodath,Chest,3,16,-2,0,3,-1,0,-,-,-,Kranodath chest armor. What armor enthusiast could resist such ornate plating?,Flinch Free,2,-,-,-,-,Scaling Prowess,-,400,Kranodath Skull,1,Charred Oilbone,1,-,-,-,-
Comaqchi Accessory,Comaqchi,Head,3,16,-5,0,0,3,3,-,-,-,"A Comaqchi head accessory. The thin, sleek plating emanates an eldritch gleam.",Sleep Resistance,1,-,-,-,-,Neopteron Alert,-,400,Comaqchi Shell,2,-,-,-,-,-,-
Rompopolo Helm,Rompopolo,Head,3,18,0,-3,0,0,1,-,-,-,Rompopolo head armor. The mask is needed to ward off the material's residual toxins.,Wide-Range,1,-,-,-,-,Flexible Leathercraft,-,500,Rompopolo Hide,2,Rompopolo Claw,1,Rompopolo Beak,1,-,-
Rompopolo Mail,Rompopolo,Chest,3,18,0,-3,0,0,1,-,-,-,Well-padded Rompopolo chest armor. The fabric contains poison that — supposedly — never leaks.,Wide-Range,1,-,-,-,-,Flexible Leathercraft,-,500,Rompopolo Hide,2,Spotted Poison Hide,1,-,-,-,-
Rompopolo Vambraces,Rompopolo,Arms,3,18,0,-3,0,0,1,-,-,-,"Rompopolo armguards. The poisonous needles in the claws are neat, but tricky to use.",Wide-Range,1,Poison Resistance,1,-,-,Flexible Leathercraft,-,500,Spotted Poison Hide,1,Rompopolo Beak,1,Poison Sac,1,-,-
Rompopolo Coil,Rompopolo,Waist,3,18,0,-3,0,0,1,-,-,-,Rompopolo waistgear fully equipped with instruments needed to handle poison.,Wide-Range,1,Poison Resistance,1,-,-,Flexible Leathercraft,-,500,Rompopolo Certificate,1,Rompopolo Hide,2,Spotted Poison Hide,1,Dragonite Ore,1
Rompopolo Greaves,Rompopolo,Legs,3,18,0,-3,0,0,1,-,-,-,Rompopolo leg armor. Careful you don't accidentally lean on those spare vials of poison...,Wide-Range,1,-,-,-,-,Flexible Leathercraft,-,500,Rompopolo Claw,2,Rompopolo Beak,1,-,-,-,-
Nerscylla Helm,Nerscylla,Head,3,20,-2,2,-2,1,2,-,-,-,A helmet made from Nerscylla spoils. Protection this durable requires masterful precision and execution.,Ambush,1,-,-,-,-,Neopteron Alert,-,500,Nerscylla Chelicera,1,Nerscylla Spike,1,Rubbery Hide,1,-,-
Nerscylla Mail,Nerscylla,Chest,3,20,-2,2,-2,1,2,-,-,-,Chest armor made from Nerscylla materials. Advanced engineering makes it feel impossibly light.,Poison Resistance,1,Bind Resistance,1,-,-,Neopteron Alert,-,500,Nerscylla Claw,2,Nerscylla Spike,1,-,-,-,-
Nerscylla Vambraces,Nerscylla,Arms,3,20,-2,2,-2,1,2,-,-,-,Armguards made from Nerscylla spoils. Extra play in the fingers helps improve weapon handling.,Ambush,1,-,-,-,-,Neopteron Alert,-,500,Nerscylla Shell,2,Nerscylla Claw,1,Nerscylla Spike,1,-,-
Nerscylla Coil,Nerscylla,Waist,3,20,-2,2,-2,1,2,-,-,-,Waistgear made from Nerscylla spoils. A work of art that exhibits a deep dedication to armor craft.,Sleep Resistance,1,Bind Resistance,1,-,-,Neopteron Alert,-,500,Nerscylla Chelicera,1,Nerscylla Spike,1,Rubbery Hide,1,-,-
Nerscylla Greaves,Nerscylla,Legs,3,20,-2,2,-2,1,2,-,-,-,Leg armor made from Nerscylla spoils. It keeps hunters light on their feet and looking good in action.,Ambush,1,-,-,-,-,Neopteron Alert,-,500,Nerscylla Shell,2,Nerscylla Chelicera,1,-,-,-,-
Hirabami Headdress,Hirabami,Head,3,22,-3,2,-2,3,0,-,-,-,Head armor made from Hirabami spoils. It keeps the wearer attuned and bound to the wind at all times.,Evade Window,1,Recovery Speed,1,-,-,Scaling Prowess,-,500,Hirabami Webbing,1,Hirabami Tail Claw,1,Frost Sac,1,-,-
Hirabami Mail,Hirabami,Chest,3,22,-3,2,-2,3,0,-,-,-,Chest armor made from Hirabami spoils. The style is inspired by the gallant warriors of a foreign land.,Evade Window,1,Recovery Speed,1,-,-,Scaling Prowess,-,500,Hirabami Hide,2,Hirabami Tail Claw,1,-,-,-,-
Hirabami Vambraces,Hirabami,Arms,3,22,-3,2,-2,3,0,-,-,-,Armguards made from Hirabami spoils. Wind rises at the fingertips in warning to all adversaries.,Evade Window,1,Ice Resistance,1,-,-,Scaling Prowess,-,500,Hirabami Scale,2,Hirabami Wbbing ,1,-,-,-,-
Hirabami Coil,Hirabami,Waist,3,22,-3,2,-2,3,0,-,-,-,Waistgear made from Hirabami spoils. The elegant sash harnesses the wind to mitigate impacts.,Evade Window,1,Ice Resistance,1,-,-,Scaling Prowess,-,500,Hirabami Scale,2,Hirabami Hide,1,Hirabami Tail Claw,1,-,-
Hirabami Greaves,Hirabami,Legs,3,22,-3,2,-2,3,0,-,-,-,"Leg armor made from Hirabami spoils. Designed for mobility, they feel like walking on wind.",Evade Window,1,Ice Resistance,1,-,-,Scaling Prowess,-,500,Hirabami Certificate,1,Hirabami Scale,2,Hirabami Webbing,1,Frozen Icebone,1
Ajarakan Helm,Ajarakan,Head,3,24,3,-3,1,-2,0,-,-,-,Imposing Ajarakan head armor. Donning it will draw the fires from within to burst forth.,Partbreaker,1,Bombardier,1,-,-,Fortifying Pelt,-,500,Ajarakan Certificate,1,Ajarakan Tail,1,Ajarakan Jewel,1,Ajarakan Marrow,1
Ajarakan Mail,Ajarakan,Chest,3,24,3,-3,1,-2,0,-,-,-,Ajarakan chest armor. The heat of its flames warns prey of their final immolation.,Partbreaker,1,-,-,-,-,Fortifying Pelt,-,500,Ajarakan Scale,2,Ajarakan Jewel,1,-,-,-,-
Ajarakan Vambraces,Ajarakan,Arms,3,24,3,-3,1,-2,0,-,-,-,Mighty Ajarakan armguards. They have just as much ground-shaking power as their namesake.,Bombardier,1,Cliffhanger,1,-,-,Fortifying Pelt,-,500,Ajarakan Scale,2,Ajarakan Shell,2,Ajarakan Ridge,1,-,-
Ajarakan Coil,Ajarakan,Waist,3,24,3,-3,1,-2,0,-,-,-,Ajarakan waistgear. It acts as a tether to quell the wearer's exploding rage.,Blast Resistance,1,Bombardier,1,-,-,Fortifying Pelt,-,500,Ajarakan Shell,2,Ajarakan Ridge,1,-,-,-,-
Ajarakan Greaves,Ajarakan,Legs,3,24,3,-3,1,-2,0,-,-,-,Flame crested Ajarakan leg armor. A heat so fierce that each step makes the earth shudder in agony.,Blast Resistance,1,Partbreaker,1,-,-,Fortifying Pelt,-,500,Ajarakan Jewel,1,Ajarakan Ridge,1,Ajarakan Tail,1,-,-
G. Seikret Coil,Guardian Seikret,Waist,4,22,0,0,4,0,-3,1,-,-,"Guardian Seikret waistgear. The long, white feathers produce a faint, exquisite glow.",Jump Master,1,-,-,-,-,Guardian's Pulse,-,700,Guardian Seikret Feather,2,Tough Guardian Bone,1,-,-,-,-
Duna Helm,Uth Duna,Head,4,26,-1,4,-3,0,0,-,-,-,Uth Duna head armor. The plumage crafted from its fins convey the forest's will to the wearer.,Peak Performance,1,Tool Specialist,1,-,-,Lord's Favor,Uth Duna's Cover,1000,Uth Duna Certificate,1,Uth Duna Scale,2,Uth Duna Plate,1,Guardian Blood,1
Duna Mail,Uth Duna,Chest,4,26,-1,4,-3,0,0,1,-,-,Uth Duna chest armor. The tightly fitted scales make the wearer feel as if they are one with nature.,Peak Performance,1,-,-,-,-,Lord's Favor,Uth Duna's Cover,1000,Uth Duna Cilia,1,Uth Duna Tentacle,1,Uth Duna Claw,2,Guardian Scale,1
Duna Vambraces,Uth Duna,Arms,4,26,-1,4,-3,0,0,1,-,-,Uth Duna armguards. The rows of stone beading are en elegant touch that boosts concentration.,Tool Specialist,1,-,-,-,-,Lord's Favor,Uth Duna's Cover,1000,Uth Duna Hide,2,Uth Duna Tentacle,1,Guardian Pelt,1,-,-
Duna Coil,Uth Duna,Waist,4,26,-1,4,-3,0,0,-,-,-,"Uth Duna waistgear. The fabric is imbued with the breath of the forest, absorbing any impact.",Tool Specialist,1,Aquatic/Oilsilt Mobility,1,-,-,Lord's Favor,Uth Duna's Cover,1000,Uth Duna Scale,2,Uth Duna Cilia,1,-,-,-,-
Duna Greaves,Uth Duna,Legs,4,26,-1,4,-3,0,0,-,-,-,Elaborately patterned Uth Duna leg armor. The design is said to invoke the forest's protection.,Peak Performance,1,-,-,-,-,Lord's Favor,Uth Duna's Cover,1000,Uth Duna Scale,2,Uth Duna Hide,2,Uth Duna Claw,1,-,-
Rey Sandhelm,Rey Dau,Head,4,26,0,-2,4,-3,0,-,-,-,Rey Dau head armor. Its crest reaches the heavens–proof that this creature bows to no one.,Latent Power,1,-,-,-,-,Lord's Favor,Rey Dau's Voltage,1000,Rey Dau Scale,2,Rey Dau Shell,2,Rey Dau Thunderhorn,1,-,-
Rey Sandmail,Rey Dau,Chest,4,26,0,-2,4,-3,0,-,-,-,Rey Dau chest armor. Its carapace has been meticulously paneled into a bastion of defense.,Constitution,1,-,-,-,-,Lord's Favor,Rey Dau's Voltage,1000,Rey Dau Scale,2,Rey Dau Wingtalon,1,-,-,-,-
Rey Sandbraces,Rey Dau,Arms,4,26,0,-2,4,-3,0,1,-,-,Rey Dau armguards. A lingering charge gives the wearer a grip like a vice.,Latent Power,1,-,-,-,-,Lord's Favor,Rey Dau's Voltage,1000,Rey Dau Wingtalon,1,Rey Dau Thunderhorn,1,Rey Dau Tail,1,Guardian Scale,1
